ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
32409966,32409966,0,179228,0,0,179228,0,1943,145174,129955,2,792,7,786,2782,788093,5029759,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32422334,32422334,0,179298,0,0,179298,0,1944,145199,129981,2,792,7,787,2783,788163,5029829,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32434466,32434466,0,179366,0,0,179366,0,1944,145381,130133,2,792,13,787,2790,788811,5030035,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32446598,32446598,0,179434,0,0,179434,0,1945,145413,130164,2,792,13,788,2791,789141,5030136,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32458730,32458730,0,179502,0,0,179502,0,1945,145421,130172,2,792,13,788,2791,789611,5030249,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32470862,32470862,0,179570,0,0,179570,0,1945,145427,130176,2,792,13,788,2791,790066,5030348,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32482994,32482994,0,179638,0,0,179638,0,1946,145451,130202,2,792,13,789,2792,790136,5030416,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32495126,32495126,0,179706,0,0,179706,0,1946,145460,130209,2,792,13,789,2792,790204,5030485,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32507258,32507258,0,179774,0,0,179774,0,1947,145482,130233,2,792,13,790,2793,790663,5030577,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32519390,32519390,0,179842,0,0,179842,0,1947,145482,130233,2,792,13,790,2793,790731,5030645,7272,26,576418,575932,5063794,5,0,0,16,3,0,0,2,2,0,0
32531522,32531522,0,179910,0,0,179910,0,1951,145547,130300,2,792,14,791,2796,790802,5030716,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32543654,32543654,0,179978,0,0,179978,0,1951,145668,130419,2,792,21,791,2804,791340,5030846,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32555786,32555786,0,180046,0,0,180046,0,1952,145729,130477,2,792,21,792,2805,791755,5030968,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32567918,32567918,0,180114,0,0,180114,0,1952,145783,130535,2,792,22,792,2807,791836,5031049,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32580050,32580050,0,180182,0,0,180182,0,1961,145996,130758,2,792,25,793,2818,792321,5031134,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32592182,32592182,0,180250,0,0,180250,0,1961,145997,130759,2,792,25,793,2818,792389,5031202,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32604314,32604314,0,180318,0,0,180318,0,1962,146028,130790,2,792,24,794,2819,792459,5031272,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32616446,32616446,0,180386,0,0,180386,0,1963,146056,130815,2,792,20,794,2819,792782,5031351,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32628578,32628578,0,180454,0,0,180454,0,1964,146079,130840,2,792,20,795,2820,792852,5031421,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32640710,32640710,0,180522,0,0,180522,0,1964,146087,130846,2,792,20,795,2820,792920,5031489,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32652842,32652842,0,180590,0,0,180590,0,1965,146115,130878,2,792,19,796,2821,792990,5031559,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32664974,32664974,0,180658,0,0,180658,0,1965,146118,130881,2,792,19,796,2821,793058,5031627,7272,26,577219,576731,5064594,5,0,0,16,3,0,0,2,2,0,0
32677106,32677106,0,180726,0,0,180726,0,1965,146133,130900,2,792,20,796,2822,793128,5031697,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32689238,32689238,0,180794,0,0,180794,0,1966,146146,130914,2,792,18,797,2822,793196,5031765,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32701370,32701370,0,180862,0,0,180862,0,1966,146157,130925,2,792,18,797,2822,793264,5031833,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32713502,32713502,0,180930,0,0,180930,0,1967,146188,130967,2,792,13,798,2823,793334,5031903,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
