ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
60564925,60564925,0,627900,0,0,627900,0,203889,594996,574063,149,796,18,998,204949,943505,6503759,7617,27,1128979,1128413,6933211,6,0,0,16,3,0,0,3,3,0,0
60597842,60597842,0,628084,0,0,628084,0,203889,595028,574095,149,796,18,998,204949,943685,6506833,7617,27,1128979,1128413,6933211,6,0,0,16,3,0,0,3,3,0,0
60628198,60628198,0,628268,0,0,628268,0,203889,595154,574223,153,796,19,998,204954,943826,6510229,7617,27,1128979,1128413,6933211,6,0,0,16,3,0,0,3,3,0,0
60641466,60641466,0,628348,0,0,628348,0,203889,595280,574351,153,796,19,998,204954,943965,6513546,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60672982,60672982,0,628544,0,0,628544,0,203889,595420,574488,157,796,18,998,204958,944193,6516839,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60685114,60685114,0,628612,0,0,628612,0,203889,595521,574589,160,796,16,998,204961,944430,6520002,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60715462,60715462,0,628796,0,0,628796,0,203889,595559,574628,161,796,18,998,204962,944638,6523182,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60730602,60730602,0,628898,0,0,628898,0,203889,595658,574727,164,796,18,998,204965,944775,6525076,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60759962,60759962,0,629069,0,0,629069,0,203889,595697,574767,165,796,18,998,204966,944913,6528546,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60773514,60773514,0,629152,0,0,629152,0,203889,595796,574866,168,796,18,998,204969,945051,6531374,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60804446,60804446,0,629342,0,0,629342,0,203889,595846,574916,169,796,18,998,204970,945234,6534343,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60825398,60825398,0,629465,0,0,629465,0,203889,595934,575006,172,796,18,998,204973,945552,6535704,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60847786,60847786,0,629603,0,0,629603,0,203889,595991,575063,173,796,18,998,204974,945885,6538697,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60874742,60874742,0,629770,0,0,629770,0,203889,596093,575167,176,796,17,998,204977,946242,6539694,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60891426,60891426,0,629867,0,0,629867,0,203889,596207,575281,179,796,18,998,204981,946542,6541448,7617,27,1130654,1130087,6962864,6,0,0,16,3,0,0,3,3,0,0
60918374,60918374,0,630034,0,0,630034,0,203893,596628,575645,182,796,26,998,204996,946932,6543003,7617,27,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
60949022,60949022,0,630221,0,0,630221,0,203897,597303,576310,184,798,57,1002,205035,947597,6544719,7617,27,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
60961722,60961722,0,630295,0,0,630295,0,203953,599396,578551,187,805,192,1018,205215,948357,6547081,7617,27,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
60988378,60988378,0,630459,0,0,630459,0,203978,600556,579633,188,813,217,1040,205275,949159,6548625,7617,27,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61010890,61010890,0,630600,0,0,630600,0,204007,600801,579889,191,817,193,1056,205288,949512,6550034,7617,27,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61031718,61031718,0,630720,0,0,630720,0,204024,600964,580048,192,824,183,1065,205298,949956,6550863,7617,27,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61062342,61062342,0,630907,0,0,630907,0,204106,601475,580676,195,828,19,1067,205312,950469,6551996,7617,30,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61076902,61076902,0,631002,0,0,631002,0,204112,601567,580769,196,828,20,1067,205314,950688,6554039,7617,30,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61097170,61097170,0,631116,0,0,631116,0,204113,601786,580987,199,828,28,1067,205326,950872,6556001,7617,30,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61123810,61123810,0,631280,0,0,631280,0,204116,601940,581115,201,828,28,1067,205330,951448,6557830,7617,30,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
61150190,61150190,0,631441,0,0,631441,0,204116,602016,581189,203,828,28,1067,205332,951715,6559809,7617,30,1134456,1133888,6993279,6,0,0,16,3,0,0,3,3,0,0
