ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
11972878,11972878,0,307223,0,0,307223,0,538,15720,15390,0,153,6,368,652,51429,30666,187,170,27103,27034,30954,52,0,2,29,3,2309,2162,2382,2162,74,74
11985246,11985246,0,307293,0,0,307293,0,538,15721,15391,0,153,6,368,652,51497,30734,187,170,27103,27034,30954,52,0,2,29,3,2309,2162,2382,2162,74,74
11997378,11997378,0,307361,0,0,307361,0,538,15723,15393,0,153,6,368,652,51565,30802,187,170,27103,27034,30954,52,0,2,29,3,2309,2162,2382,2162,74,74
12009510,12009510,0,307429,0,0,307429,0,538,15724,15394,0,153,6,368,652,51633,30870,187,170,27103,27034,30954,52,0,2,29,3,2309,2162,2382,2162,74,74
12021642,12021642,0,307497,0,0,307497,0,538,15726,15396,0,153,6,368,652,51701,30938,187,170,27103,27034,30954,52,0,2,29,3,2309,2162,2382,2162,74,74
12033774,12033774,0,307565,0,0,307565,0,538,15727,15397,0,153,6,368,652,51769,31006,187,170,27103,27034,30954,52,0,2,29,3,2309,2162,2382,2162,74,74
12045906,12045906,0,307633,0,0,307633,0,538,15729,15399,0,153,6,368,652,51837,31074,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12058038,12058038,0,307701,0,0,307701,0,538,15730,15400,0,153,6,368,652,51905,31142,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12070170,12070170,0,307769,0,0,307769,0,538,15732,15402,0,153,6,368,652,51973,31210,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12082302,12082302,0,307837,0,0,307837,0,538,15735,15407,0,153,4,368,652,52041,31278,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12094434,12094434,0,307905,0,0,307905,0,538,15739,15412,0,153,3,368,652,52109,31346,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12106566,12106566,0,307973,0,0,307973,0,538,15739,15412,0,153,3,368,652,52177,31414,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12118698,12118698,0,308041,0,0,308041,0,538,15739,15412,0,153,3,368,652,52245,31482,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12130830,12130830,0,308109,0,0,308109,0,538,15753,15423,0,153,4,368,653,52314,31551,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12142962,12142962,0,308177,0,0,308177,0,538,15804,15472,0,153,7,368,657,52387,31624,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12155094,12155094,0,308245,0,0,308245,0,538,15829,15495,0,153,7,368,657,52457,31694,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
12167226,12167226,0,308313,0,0,308313,0,538,15840,15506,0,153,7,368,657,52525,31762,187,170,27532,27463,31381,52,0,2,29,3,2309,2162,2382,2162,74,74
